rank,player,country,points,record,owr,oowp,deck,player_url
196,Aneil Saini,CA,28,9 - 4 - 1,58.61%,58.65%,dragapult,https://play.limitlesstcg.net/0070/player/2562
197,William Sanders,US,28,9 - 4 - 1,58.47%,57.12%,dragapult,https://play.limitlesstcg.net/0070/player/2184
198,Adam Marshall,UK,28,9 - 4 - 1,58.23%,56.77%,zoroark,https://play.limitlesstcg.net/0070/player/2619
199,Dre Alderette,US,28,8 - 2 - 4,57.90%,55.41%,alakazam,https://play.limitlesstcg.net/0070/player/0677
200,James Pickeral,US,28,9 - 4 - 1,57.70%,58.22%,zoroark,https://play.limitlesstcg.net/0070/player/3208
201,Alex Meeks,US,28,9 - 4 - 1,57.46%,55.67%,dragapult,https://play.limitlesstcg.net/0070/player/2660
202,Dylan Higgins,US,28,9 - 4 - 1,57.14%,58.57%,dragapult,https://play.limitlesstcg.net/0070/player/0396
203,Emma Hagen,NO,28,9 - 4 - 1,57.07%,55.46%,clefairy,https://play.limitlesstcg.net/0070/player/0136
204,Adam Pickeral,US,28,9 - 4 - 1,57.02%,57.58%,dragapult,https://play.limitlesstcg.net/0070/player/0672
205,Hunter Hawkins,US,28,9 - 4 - 1,56.89%,57.61%,dragapult,https://play.limitlesstcg.net/0070/player/3283
206,Elliot Muskat,US,28,9 - 4 - 1,56.88%,56.81%,ogerpon,https://play.limitlesstcg.net/0070/player/1330
207,Aaron West,US,28,9 - 4 - 1,56.66%,56.00%,dragapult,https://play.limitlesstcg.net/0070/player/0124
208,Jordan Nelle,US,28,9 - 4 - 1,56.12%,55.62%,dragapult,https://play.limitlesstcg.net/0070/player/3346
209,Marco Garcia,BR,28,9 - 4 - 1,56.08%,58.58%,dragapult,https://play.limitlesstcg.net/0070/player/3326
210,Brandon Davis,US,28,9 - 4 - 1,56.05%,56.27%,zoroark,https://play.limitlesstcg.net/0070/player/1029
211,Zach Laska,US,28,9 - 4 - 1,56.02%,57.69%,clefairy,https://play.limitlesstcg.net/0070/player/1710
212,max kunde,AU,28,9 - 4 - 1,55.96%,57.88%,dragapult,https://play.limitlesstcg.net/0070/player/0669
213,David Ruther,US,28,9 - 4 - 1,55.96%,55.87%,ogerpon,https://play.limitlesstcg.net/0070/player/1301
214,Nico Gist,US,28,9 - 4 - 1,55.92%,56.65%,dragapult,https://play.limitlesstcg.net/0070/player/1544
215,Aaron Davis,US,28,9 - 4 - 1,55.77%,54.94%,alakazam,https://play.limitlesstcg.net/0070/player/3037
216,Joe Bernard,UK,28,9 - 4 - 1,55.73%,55.34%,dragapult,https://play.limitlesstcg.net/0070/player/2646
217,Bodhi Robinson,US,28,9 - 4 - 1,55.28%,58.37%,dragapult,https://play.limitlesstcg.net/0070/player/1992
218,Evelyn Estridge,US,28,9 - 4 - 1,54.95%,58.20%,dragapult,https://play.limitlesstcg.net/0070/player/1360
219,Larry Bravo,US,28,9 - 4 - 1,54.46%,57.33%,ogerpon,https://play.limitlesstcg.net/0070/player/2536
220,Max Van hoof,NL,28,9 - 4 - 1,54.21%,54.51%,dragapult,https://play.limitlesstcg.net/0070/player/3298
221,Rain Keuma,US,28,9 - 4 - 1,53.93%,57.62%,crustle,https://play.limitlesstcg.net/0070/player/1295
222,Anastazja Clappison,CA,28,9 - 4 - 1,53.84%,56.01%,ogerpon,https://play.limitlesstcg.net/0070/player/1911
223,Cali White,CA,28,9 - 4 - 1,53.43%,55.81%,ogerpon,https://play.limitlesstcg.net/0070/player/1486
224,Matthew Lu,US,28,9 - 4 - 1,53.30%,53.26%,dragapult,https://play.limitlesstcg.net/0070/player/3651
225,Wyatt Triplett,US,28,9 - 4 - 1,53.06%,53.68%,lucario-mega,https://play.limitlesstcg.net/0070/player/2288
226,Matthew Padget,US,28,9 - 4 - 1,53.01%,56.70%,dragapult,https://play.limitlesstcg.net/0070/player/2797
