rank,player,country,points,record,owr,oowp,deck,player_url
360,Danielle Bernstein,US,25,8 - 5 - 1,61.54%,57.52%,dragapult,https://play.limitlesstcg.net/0070/player/2891
361,Mika Wright,US,25,8 - 5 - 1,61.35%,56.80%,zoroark,https://play.limitlesstcg.net/0070/player/2220
362,Jayden Martin,US,25,8 - 5 - 1,61.07%,57.89%,dragapult,https://play.limitlesstcg.net/0070/player/1011
363,Mason Liu,US,25,8 - 5 - 1,60.46%,53.84%,dragapult,https://play.limitlesstcg.net/0070/player/0221
364,Daniel Altavilla,US,25,8 - 5 - 1,60.20%,56.53%,dragapult,https://play.limitlesstcg.net/0070/player/1644
365,Mike Spaits,US,25,8 - 5 - 1,60.01%,57.42%,kangaskhan-mega,https://play.limitlesstcg.net/0070/player/0355
366,Chase Davis,US,25,8 - 5 - 1,59.94%,56.59%,dragapult,https://play.limitlesstcg.net/0070/player/0915
367,Ethan Whitney,US,25,8 - 5 - 1,59.62%,56.07%,dragapult,https://play.limitlesstcg.net/0070/player/2581
368,Mateus Portilho,US,25,8 - 5 - 1,59.48%,54.29%,dragapult,https://play.limitlesstcg.net/0070/player/1006
369,Zack Martin,US,25,7 - 3 - 4,59.12%,57.91%,ogerpon,https://play.limitlesstcg.net/0070/player/0107
370,Kenji Ramsell,US,25,8 - 5 - 1,58.99%,57.62%,slowking,https://play.limitlesstcg.net/0070/player/0293
371,Zach Negomir,US,25,8 - 5 - 1,58.93%,54.83%,dragapult,https://play.limitlesstcg.net/0070/player/0268
372,Justin Kim,CA,25,8 - 5 - 1,58.46%,57.09%,ogerpon,https://play.limitlesstcg.net/0070/player/1431
373,Victor De Velasco,MX,25,8 - 5 - 1,58.46%,56.96%,dragapult,https://play.limitlesstcg.net/0070/player/0552
374,Hector Adrian Pio Robles SÃ¡nchez,MX,25,8 - 5 - 1,58.23%,56.58%,slowking,https://play.limitlesstcg.net/0070/player/3658
375,Nicholas Pursley,US,25,8 - 5 - 1,58.21%,58.29%,dragapult,https://play.limitlesstcg.net/0070/player/0404
376,Maxwell Wyatt,US,25,8 - 5 - 1,58.12%,55.85%,dragapult,https://play.limitlesstcg.net/0070/player/0863
377,William Raymond,US,25,8 - 5 - 1,57.96%,60.19%,honchkrow,https://play.limitlesstcg.net/0070/player/3029
378,Andrew Hier,US,25,8 - 5 - 1,57.69%,57.92%,alakazam,https://play.limitlesstcg.net/0070/player/3573
379,Ryan Tuckman,US,25,8 - 5 - 1,57.49%,55.72%,slowking,https://play.limitlesstcg.net/0070/player/1114
380,Tony Santos,US,25,7 - 3 - 4,57.42%,59.16%,dragapult,https://play.limitlesstcg.net/0070/player/0679
381,Hubert Zhang,US,25,7 - 3 - 4,57.08%,58.30%,dragapult,https://play.limitlesstcg.net/0070/player/2258
382,Noah Wagner-Carlberg,US,25,7 - 3 - 4,57.03%,57.29%,alakazam,https://play.limitlesstcg.net/0070/player/2719
383,Asher Campbell,US,25,8 - 5 - 1,57.02%,56.08%,raging-bolt,https://play.limitlesstcg.net/0070/player/0941
384,Takashi Yoneda,US,25,8 - 5 - 1,56.75%,60.94%,dragapult,https://play.limitlesstcg.net/0070/player/2115
385,Aaron Tirona,US,25,8 - 5 - 1,56.63%,53.61%,dragapult,https://play.limitlesstcg.net/0070/player/1180
386,Daniel Carranza Bonilla,US,25,8 - 5 - 1,56.57%,56.46%,ogerpon,https://play.limitlesstcg.net/0070/player/1178
387,Joaquin Cardenas,US,25,8 - 5 - 1,56.55%,56.90%,dragapult,https://play.limitlesstcg.net/0070/player/3481
388,Maxim Korobov,US,25,8 - 5 - 1,56.34%,55.44%,ogerpon,https://play.limitlesstcg.net/0070/player/3243
389,Brant Lesher,US,25,7 - 3 - 4,56.23%,57.14%,crustle,https://play.limitlesstcg.net/0070/player/3637
390,Adam Waller,US,25,7 - 3 - 4,56.19%,54.97%,dragapult,https://play.limitlesstcg.net/0070/player/1110
391,Benjamin Wilhelm,US,25,8 - 5 - 1,56.12%,55.21%,grimmsnarl,https://play.limitlesstcg.net/0070/player/1713
392,Brendan Currier,US,25,8 - 5 - 1,56.10%,53.21%,dragapult,https://play.limitlesstcg.net/0070/player/3689
393,Kaylee Hatfield,US,25,8 - 5 - 1,56.10%,56.22%,trevenant,https://play.limitlesstcg.net/0070/player/2777
394,Douglas Mendoza,US,25,8 - 5 - 1,56.02%,57.00%,zoroark,https://play.limitlesstcg.net/0070/player/1270
395,BJ Brownell,US,25,8 - 5 - 1,55.80%,56.08%,raging-bolt,https://play.limitlesstcg.net/0070/player/0206
396,Aiden Tripi,US,25,8 - 5 - 1,55.78%,54.07%,dragapult,https://play.limitlesstcg.net/0070/player/3292
397,Joshua Hipsher,US,25,8 - 5 - 1,55.72%,55.22%,raging-bolt,https://play.limitlesstcg.net/0070/player/1927
398,Gaer Garduno,US,25,8 - 5 - 1,55.42%,56.58%,dragapult,https://play.limitlesstcg.net/0070/player/1229
399,Anthony Lopez,US,25,8 - 5 - 1,55.36%,57.24%,zoroark,https://play.limitlesstcg.net/0070/player/0434
400,Jack Lea,US,25,8 - 5 - 1,55.33%,55.92%,dragapult,https://play.limitlesstcg.net/0070/player/2058
401,Joseph Mandil,US,25,8 - 5 - 1,55.23%,55.34%,lopunny-mega,https://play.limitlesstcg.net/0070/player/1574
402,Alex Bortolini,IT,25,8 - 5 - 1,55.12%,57.82%,dragapult,https://play.limitlesstcg.net/0070/player/0494
403,Matthew Suarez,US,25,7 - 3 - 4,55.12%,55.92%,dragapult,https://play.limitlesstcg.net/0070/player/3408
404,Julio Santos De Leon,US,25,8 - 5 - 1,55.10%,56.56%,dragapult,https://play.limitlesstcg.net/0070/player/0286
405,Michael Bio,US,25,7 - 3 - 4,55.05%,57.12%,dragapult,https://play.limitlesstcg.net/0070/player/3431
406,Tucker Bethune,US,25,7 - 3 - 4,55.04%,55.75%,dragapult,https://play.limitlesstcg.net/0070/player/3027
407,Bryson Cliggett,US,25,8 - 5 - 1,55.00%,58.38%,trevenant,https://play.limitlesstcg.net/0070/player/0649
408,Evan Cole,US,25,7 - 3 - 4,54.79%,54.24%,lopunny-mega,https://play.limitlesstcg.net/0070/player/1663
409,Jack Wong,CA,25,7 - 3 - 4,54.77%,55.06%,dragapult,https://play.limitlesstcg.net/0070/player/2975
410,Marcos Gonzalez,US,25,8 - 5 - 1,54.77%,53.55%,honchkrow,https://play.limitlesstcg.net/0070/player/3079
411,Joshua Sanchez,US,25,7 - 3 - 4,54.73%,54.44%,dragapult,https://play.limitlesstcg.net/0070/player/0245
412,Lucas Oldale,CA,25,8 - 5 - 1,54.51%,55.37%,dragapult,https://play.limitlesstcg.net/0070/player/0185
413,Carter Goodrich,US,25,8 - 5 - 1,54.02%,52.38%,dragapult,https://play.limitlesstcg.net/0070/player/2389
414,Brennan Winkler,US,25,8 - 5 - 1,53.86%,54.98%,beedrill,https://play.limitlesstcg.net/0070/player/2962
415,Donald Cao,US,25,8 - 5 - 1,53.69%,53.35%,dragapult,https://play.limitlesstcg.net/0070/player/0823
416,Rolando Flores Estrada,US,25,8 - 5 - 1,53.67%,56.79%,dragapult,https://play.limitlesstcg.net/0070/player/2569
417,Michael Nguyen,US,25,8 - 5 - 1,53.40%,55.14%,dragapult,https://play.limitlesstcg.net/0070/player/1193
418,Trevor Rojas,US,25,8 - 5 - 1,53.25%,54.96%,dragapult,https://play.limitlesstcg.net/0070/player/2316
419,Sasha Huang,US,25,8 - 5 - 1,53.22%,55.41%,dragapult,https://play.limitlesstcg.net/0070/player/0313
420,Ryan Rossell,US,25,8 - 5 - 1,53.20%,54.97%,zoroark,https://play.limitlesstcg.net/0070/player/0563
421,Addison Yip,AU,25,8 - 5 - 1,53.02%,51.90%,alakazam,https://play.limitlesstcg.net/0070/player/1966
422,Cesar Rodriguez,US,25,8 - 5 - 1,52.53%,54.07%,dragapult,https://play.limitlesstcg.net/0070/player/3729
423,Corey Jones,US,25,8 - 5 - 1,51.85%,54.33%,dragapult,https://play.limitlesstcg.net/0070/player/2758
424,Asher Johnson,US,25,8 - 5 - 1,51.66%,53.41%,alakazam,https://play.limitlesstcg.net/0070/player/2645
425,Jovad Cruz,US,25,8 - 5 - 1,51.31%,56.79%,ogerpon,https://play.limitlesstcg.net/0070/player/1269
426,Jesse Gaynor,US,25,8 - 5 - 1,51.28%,55.77%,alakazam,https://play.limitlesstcg.net/0070/player/0198
427,Josh Mills,US,25,8 - 5 - 1,51.20%,53.49%,dragapult,https://play.limitlesstcg.net/0070/player/0961
428,Arjun Khadse,US,24,7 - 4 - 3,68.05%,56.53%,slowking,https://play.limitlesstcg.net/0070/player/1053
429,Christian Martinez,US,24,7 - 4 - 3,66.20%,57.46%,dragapult,https://play.limitlesstcg.net/0070/player/3432
430,Nathan Bussiere,CA,24,8 - 6 - 0,64.71%,59.21%,dragapult,https://play.limitlesstcg.net/0070/player/1346
431,Logan Hendrickson,US,24,8 - 6 - 0,63.90%,58.66%,dragapult,https://play.limitlesstcg.net/0070/player/3103
432,Trevor Griggs,US,24,7 - 4 - 3,62.95%,58.11%,slowking,https://play.limitlesstcg.net/0070/player/2689
433,Summer Zeigman,US,24,7 - 4 - 3,62.16%,58.22%,crustle,https://play.limitlesstcg.net/0070/player/1197
434,Meng-Yu Wang,US,24,7 - 4 - 3,61.52%,57.62%,dipplin,https://play.limitlesstcg.net/0070/player/0894
435,Bo Zhao,UK,24,8 - 6 - 0,61.46%,59.54%,dragapult,https://play.limitlesstcg.net/0070/player/3707
436,Lance Bradshaw,US,24,8 - 6 - 0,61.34%,58.81%,dragapult,https://play.limitlesstcg.net/0070/player/2009
437,Adrian Serrano,CR,24,7 - 4 - 3,61.03%,58.95%,slowking,https://play.limitlesstcg.net/0070/player/1109
438,Joseph Cajas,US,24,7 - 4 - 3,60.71%,59.15%,dragapult,https://play.limitlesstcg.net/0070/player/2919
439,Bryan Ortiz,CA,24,7 - 4 - 3,60.63%,57.58%,dragapult,https://play.limitlesstcg.net/0070/player/2618
440,Emmet Hurley,US,24,7 - 4 - 3,60.46%,59.12%,dragapult,https://play.limitlesstcg.net/0070/player/0849
441,Adewale Adeleke,US,24,8 - 6 - 0,60.38%,58.74%,dragapult,https://play.limitlesstcg.net/0070/player/1518
442,Anthony Ouertani,US,24,7 - 4 - 3,60.27%,57.22%,dragapult,https://play.limitlesstcg.net/0070/player/3162
443,William Au,US,24,7 - 4 - 3,60.27%,55.86%,dragapult,https://play.limitlesstcg.net/0070/player/3604
444,Joseph Maressa,US,24,7 - 4 - 3,60.08%,57.68%,dragapult,https://play.limitlesstcg.net/0070/player/3308
445,Cole Thomas,US,24,7 - 4 - 3,59.73%,59.21%,alakazam,https://play.limitlesstcg.net/0070/player/2216
446,EJ Argonza,US,24,7 - 4 - 3,59.38%,56.28%,ogerpon,https://play.limitlesstcg.net/0070/player/2985
447,Mason Bowser,US,24,7 - 4 - 3,59.25%,57.09%,dragapult,https://play.limitlesstcg.net/0070/player/0568
448,Matthew Mancuso,US,24,7 - 4 - 3,59.18%,55.35%,dragapult,https://play.limitlesstcg.net/0070/player/1555
449,Kento Ochi,JP,24,7 - 4 - 3,58.93%,57.46%,crustle,https://play.limitlesstcg.net/0070/player/2799
450,Iain Harding,US,24,7 - 4 - 3,58.89%,58.09%,dragapult,https://play.limitlesstcg.net/0070/player/0031
451,Trenton Ross,US,24,7 - 4 - 3,58.86%,56.89%,dragapult,https://play.limitlesstcg.net/0070/player/2517
452,Fabian Lomeli,MX,24,7 - 4 - 3,58.77%,55.99%,dragapult,https://play.limitlesstcg.net/0070/player/2820
453,Steven Hamula,US,24,7 - 4 - 3,58.55%,57.31%,dragapult,https://play.limitlesstcg.net/0070/player/1340
454,Charles Collier,US,24,8 - 6 - 0,58.35%,56.60%,dragapult,https://play.limitlesstcg.net/0070/player/1107
455,Kris Kavanagh,US,24,7 - 4 - 3,58.29%,60.01%,ogerpon,https://play.limitlesstcg.net/0070/player/3271
456,Zach Elliott,US,24,8 - 6 - 0,57.44%,58.29%,dragapult,https://play.limitlesstcg.net/0070/player/0889
457,Conan Craig,US,24,6 - 2 - 6,57.04%,55.65%,dragapult,https://play.limitlesstcg.net/0070/player/2085
458,Brandon Vo,US,24,8 - 6 - 0,57.00%,56.44%,dragapult,https://play.limitlesstcg.net/0070/player/1457
459,Timothy Bennett,US,24,8 - 6 - 0,55.88%,56.33%,lucario-mega,https://play.limitlesstcg.net/0070/player/2501
460,Jackson Rowley,US,24,6 - 2 - 6,55.87%,56.24%,crustle,https://play.limitlesstcg.net/0070/player/0727
461,Alex Frezza,US,24,7 - 4 - 3,55.48%,56.41%,alakazam,https://play.limitlesstcg.net/0070/player/0960
462,Pedro Hernandez,US,24,7 - 4 - 3,55.10%,56.89%,slowking,https://play.limitlesstcg.net/0070/player/0950
463,Christian Park,US,24,7 - 4 - 3,54.91%,56.20%,dragapult,https://play.limitlesstcg.net/0070/player/0478
464,Ashley Freije,US,24,7 - 4 - 3,54.78%,58.49%,dragapult,https://play.limitlesstcg.net/0070/player/3265
465,David Coates,US,24,7 - 4 - 3,54.70%,56.39%,dragapult,https://play.limitlesstcg.net/0070/player/0567
466,Kyle Spencer,US,24,6 - 2 - 6,54.70%,55.56%,ogerpon,https://play.limitlesstcg.net/0070/player/1044
467,Ezra Hoon,US,24,7 - 4 - 3,54.10%,58.41%,dragapult,https://play.limitlesstcg.net/0070/player/2997
468,Franco De Nardo,AR,24,7 - 4 - 3,54.06%,56.95%,slowking,https://play.limitlesstcg.net/0070/player/1706
469,Lucas Richardson,US,24,7 - 4 - 3,53.67%,52.51%,metagross,https://play.limitlesstcg.net/0070/player/0149
470,Curt Wong,US,24,7 - 4 - 3,52.55%,54.86%,zoroark,https://play.limitlesstcg.net/0070/player/1204
471,Darien Krys,CA,24,8 - 6 - 0,52.27%,57.03%,greninja-mega,https://play.limitlesstcg.net/0070/player/2004
472,Angel Howell,US,24,7 - 4 - 3,51.87%,55.73%,raging-bolt,https://play.limitlesstcg.net/0070/player/2548
473,Albert Wang,US,24,7 - 4 - 3,50.45%,53.21%,dragapult,https://play.limitlesstcg.net/0070/player/2218
474,MIRAI OKUBO,JP,24,7 - 4 - 3,48.40%,52.57%,ogerpon,https://play.limitlesstcg.net/0070/player/3723
475,Nick Dela Torre,US,23,7 - 5 - 2,62.11%,55.74%,dragapult,https://play.limitlesstcg.net/0070/player/3100
476,Alejandro Mena,US,23,7 - 5 - 2,61.46%,56.00%,dragapult,https://play.limitlesstcg.net/0070/player/1494
477,Dan Benipayo,US,23,5 - 1 - 8,61.22%,58.74%,crustle,https://play.limitlesstcg.net/0070/player/1247
478,Matt Bridges,US,23,7 - 5 - 2,60.88%,58.24%,ogerpon,https://play.limitlesstcg.net/0070/player/0054
479,Jake Blandina,US,23,6 - 3 - 5,60.46%,56.27%,dragapult,https://play.limitlesstcg.net/0070/player/0790
480,Shashi Naraine,CA,23,7 - 5 - 2,59.82%,57.66%,slowking,https://play.limitlesstcg.net/0070/player/1291
481,Benjamin Griffiths,US,23,7 - 5 - 2,59.32%,57.08%,starmie-mega,https://play.limitlesstcg.net/0070/player/3325
482,Ethan Yau,US,23,7 - 5 - 2,59.16%,56.99%,dipplin,https://play.limitlesstcg.net/0070/player/0978
483,Moon Nordvall,US,23,7 - 5 - 2,59.12%,55.93%,dragapult,https://play.limitlesstcg.net/0070/player/0770
484,Omar Villarreal,US,23,7 - 5 - 2,59.05%,60.17%,dipplin,https://play.limitlesstcg.net/0070/player/3140
485,Kraig Martin,US,23,7 - 5 - 2,58.93%,57.66%,ogerpon,https://play.limitlesstcg.net/0070/player/3560
486,Zach Bates,US,23,7 - 5 - 2,58.86%,54.86%,ogerpon,https://play.limitlesstcg.net/0070/player/2682
487,Albert Centeno,US,23,7 - 5 - 2,58.27%,58.79%,ogerpon,https://play.limitlesstcg.net/0070/player/2907
488,Stephen Alvarado,US,23,7 - 5 - 2,57.81%,54.20%,alakazam,https://play.limitlesstcg.net/0070/player/0932
489,Jed Betita,US,23,7 - 5 - 2,57.60%,56.24%,honchkrow,https://play.limitlesstcg.net/0070/player/1455
490,Satnam Benipal,US,23,7 - 5 - 2,57.55%,55.22%,slowking,https://play.limitlesstcg.net/0070/player/1349
491,Angelo toscano,US,23,7 - 5 - 2,57.44%,53.37%,honchkrow,https://play.limitlesstcg.net/0070/player/1606
492,Alexander Remick,US,23,7 - 5 - 2,57.39%,55.40%,beedrill,https://play.limitlesstcg.net/0070/player/0826
493,HÃ©ctor Xavier RodrÃ­guez Franco,MX,23,7 - 5 - 2,57.33%,56.50%,dragapult,https://play.limitlesstcg.net/0070/player/0239
494,Adam Lester,US,23,7 - 5 - 2,57.08%,57.58%,dragapult,https://play.limitlesstcg.net/0070/player/2836
495,Chad James,US,23,7 - 5 - 2,56.89%,56.25%,zoroark,https://play.limitlesstcg.net/0070/player/0592
496,Amy Jones,US,23,7 - 5 - 2,56.73%,57.44%,alakazam,https://play.limitlesstcg.net/0070/player/0369
497,Andrew Jin,US,23,7 - 5 - 2,56.55%,56.01%,greninja-mega,https://play.limitlesstcg.net/0070/player/0335
498,Ethan Ding,US,23,7 - 5 - 2,56.51%,56.73%,alakazam,https://play.limitlesstcg.net/0070/player/0065
499,Delong Nguyenthanh,US,23,7 - 5 - 2,56.48%,55.74%,ogerpon,https://play.limitlesstcg.net/0070/player/1750
500,Patrick Granda,US,23,7 - 5 - 2,56.34%,56.54%,alakazam,https://play.limitlesstcg.net/0070/player/2744
501,Zach Taylor,US,23,7 - 5 - 2,56.10%,55.87%,metagross,https://play.limitlesstcg.net/0070/player/0501
502,Hunter Slack,US,23,7 - 5 - 2,55.99%,55.46%,alakazam,https://play.limitlesstcg.net/0070/player/2503
503,Kris Hill,US,23,7 - 5 - 2,55.93%,55.18%,clefairy,https://play.limitlesstcg.net/0070/player/3392
504,Will Garcia II,US,23,7 - 5 - 2,55.92%,57.93%,garchomp,https://play.limitlesstcg.net/0070/player/1083
505,David Li,US,23,7 - 5 - 2,55.77%,57.12%,dragapult,https://play.limitlesstcg.net/0070/player/1878
506,Porter Beland,US,23,7 - 5 - 2,55.65%,54.40%,dragapult,https://play.limitlesstcg.net/0070/player/0244
507,Santiago Prieto,CL,23,7 - 5 - 2,55.60%,54.65%,sylveon,https://play.limitlesstcg.net/0070/player/0171
508,Steven Vuong,CA,23,7 - 5 - 2,55.43%,53.08%,zoroark,https://play.limitlesstcg.net/0070/player/2934
509,Kyle Mullanack,US,23,7 - 5 - 2,55.34%,54.26%,crustle,https://play.limitlesstcg.net/0070/player/3128
510,Ken Morishita,JP,23,7 - 5 - 2,55.29%,55.47%,dragapult,https://play.limitlesstcg.net/0070/player/1968
511,Johnny Ngo,US,23,7 - 5 - 2,54.93%,52.11%,ogerpon,https://play.limitlesstcg.net/0070/player/3391
512,Ryan Hughes,US,23,7 - 5 - 2,54.78%,56.64%,dragapult,https://play.limitlesstcg.net/0070/player/0872
